iter	Passed	Remaining
0	8	8388
1	18	9362
2	27	9054
3	38	9469
4	48	9636
5	59	9779
6	68	9724
7	79	9868
8	88	9751
9	98	9800
10	107	9651
11	115	9514
12	123	9348
13	130	9212
14	138	9119
15	147	9046
16	155	9019
17	166	9101
18	175	9049
19	185	9066
20	194	9047
21	203	9050
22	213	9089
23	226	9194
24	236	9226
25	245	9179
26	253	9148
27	263	9135
28	269	9039
29	277	8984
30	285	8931
31	293	8884
32	301	8839
33	309	8793
34	317	8757
35	325	8704
36	331	8637
37	339	8587
38	347	8567
39	355	8541
40	363	8510
41	371	8474
42	379	8451
43	388	8436
44	396	8407
45	404	8396
46	413	8383
47	438	8687
48	446	8669
49	455	8661
50	462	8611
51	471	8587
52	480	8578
53	487	8542
54	495	8511
55	503	8483
56	512	8475
57	520	8449
58	530	8461
59	538	8434
60	547	8427
61	557	8429
62	566	8432
63	575	8419
64	585	8418
65	593	8401
66	602	8388
67	611	8379
68	619	8363
69	626	8327
70	637	8345
71	647	8341
72	656	8338
73	665	8321
74	674	8322
75	683	8310
76	692	8304
77	702	8305
78	712	8301
79	721	8294
80	731	8295
81	740	8293
82	749	8281
83	759	8282
84	768	8270
85	777	8264
86	789	8285
87	799	8281
88	808	8271
89	817	8263
90	826	8255
91	835	8247
92	846	8259
93	856	8256
94	865	8249
95	875	8243
96	884	8229
97	893	8219
98	901	8205
99	910	8198
100	919	8185
101	927	8163
102	935	8151
103	943	8127
104	950	8103
105	959	8091
106	969	8091
107	979	8089
108	989	8092
109	1003	8119
110	1013	8119
111	1021	8095
112	1028	8075
113	1038	8068
114	1045	8048
115	1055	8042
116	1065	8038
117	1073	8026
118	1081	8007
119	1089	7990
120	1097	7974
121	1106	7961
122	1114	7945
123	1122	7929
124	1130	7910
125	1138	7895
126	1146	7879
127	1154	7868
128	1163	7856
129	1172	7848
130	1181	7840
131	1190	7829
132	1198	7815
133	1207	7800
134	1216	7796
135	1225	7787
136	1234	7775
137	1241	7753
138	1249	7741
139	1258	7733
140	1281	7809
141	1290	7794
142	1300	7791
143	1308	7779
144	1316	7763
145	1324	7749
146	1332	7733
147	1341	7723
148	1348	7703
149	1357	7692
150	1365	7676
151	1372	7657
152	1381	7648
153	1389	7631
154	1397	7620
155	1405	7605
156	1413	7589
157	1421	7577
158	1431	7569
159	1440	7561
160	1448	7550
161	1457	7539
162	1466	7530
163	1475	7522
164	1486	7520
165	1494	7509
166	1503	7501
167	1511	7484
168	1520	7475
169	1527	7459
170	1536	7450
171	1546	7444
172	1557	7443
173	1566	7436
174	1578	7439
175	1591	7450
176	1604	7460
177	1620	7485
178	1633	7492
179	1646	7498
180	1657	7497
181	1668	7497
182	1678	7491
183	1692	7504
184	1703	7502
185	1713	7498
186	1727	7508
187	1739	7512
188	1755	7532
189	1768	7541
190	1782	7547
191	1798	7569
192	1812	7577
193	1829	7602
194	1843	7608
195	1854	7606
196	1867	7612
197	1880	7617
198	1891	7613
199	1903	7612
200	1914	7610
201	1924	7603
202	1934	7596
203	1944	7586
204	1954	7579
205	1965	7577
206	1975	7568
207	1987	7566
208	1997	7560
209	2007	7551
210	2017	7543
211	2026	7534
212	2036	7522
213	2047	7519
214	2058	7517
215	2068	7507
216	2079	7502
217	2089	7494
218	2100	7490
219	2109	7477
220	2131	7511
221	2139	7496
222	2147	7482
223	2157	7475
224	2165	7459
225	2173	7444
226	2183	7434
227	2192	7423
228	2203	7417
229	2211	7402
230	2219	7388
231	2227	7374
232	2234	7356
233	2242	7342
234	2252	7332
235	2259	7315
236	2268	7302
237	2276	7287
238	2284	7273
239	2292	7258
240	2301	7248
241	2314	7250
242	2331	7262
243	2343	7261
244	2359	7269
245	2370	7266
246	2382	7262
247	2391	7251
248	2400	7240
249	2409	7229
250	2422	7228
251	2431	7218
252	2441	7208
253	2450	7197
254	2460	7188
255	2470	7178
256	2479	7168
257	2489	7159
258	2497	7145
259	2506	7134
260	2516	7124
261	2525	7115
262	2536	7109
263	2547	7102
264	2556	7091
265	2566	7082
266	2577	7074
267	2586	7064
268	2597	7058
269	2607	7048
270	2614	7033
271	2623	7022
272	2634	7014
273	2645	7009
274	2654	6998
275	2664	6989
276	2674	6980
277	2682	6965
278	2689	6949
279	2698	6938
280	2707	6928
281	2716	6917
282	2727	6910
283	2736	6899
284	2749	6899
285	2760	6891
286	2771	6886
287	2781	6877
288	2790	6865
289	2798	6851
290	2810	6847
291	2819	6837
292	2829	6828
293	2839	6818
294	2850	6813
295	2862	6807
296	2873	6801
297	2884	6794
298	2893	6783
299	2903	6775
300	2916	6772
301	2927	6767
302	2945	6776
303	2958	6773
304	2994	6823
305	3007	6820
306	3015	6806
307	3025	6797
308	3034	6785
309	3043	6773
310	3050	6758
311	3058	6745
312	3068	6734
313	3076	6721
314	3085	6709
315	3094	6697
316	3104	6688
317	3112	6674
318	3120	6662
319	3130	6653
320	3142	6646
321	3150	6634
322	3160	6623
323	3171	6617
324	3182	6609
325	3191	6597
326	3201	6588
327	3210	6576
328	3219	6566
329	3228	6555
330	3237	6543
331	3245	6530
332	3254	6519
333	3262	6505
334	3271	6493
335	3279	6481
336	3287	6467
337	3295	6454
338	3304	6442
339	3312	6429
340	3319	6415
341	3328	6403
342	3336	6391
343	3344	6378
344	3352	6365
345	3361	6352
346	3369	6341
347	3377	6328
348	3386	6316
349	3394	6303
350	3402	6291
351	3410	6279
352	3418	6266
353	3426	6253
354	3435	6241
355	3443	6229
356	3451	6216
357	3459	6203
358	3467	6191
359	3477	6182
360	3486	6171
361	3493	6157
362	3501	6143
363	3509	6131
364	3517	6118
365	3524	6105
366	3533	6093
367	3541	6082
368	3549	6070
369	3558	6058
370	3566	6047
371	3575	6035
372	3585	6026
373	3593	6014
374	3601	6002
375	3610	5991
376	3618	5979
377	3627	5969
378	3635	5957
379	3644	5946
380	3652	5933
381	3660	5922
382	3668	5909
383	3676	5897
384	3684	5885
385	3692	5874
386	3700	5861
387	3708	5848
388	3715	5835
389	3722	5822
390	3730	5810
391	3738	5797
392	3746	5786
393	3754	5775
394	3763	5763
395	3771	5752
396	3780	5741
397	3787	5729
398	3796	5719
399	3804	5706
400	3814	5698
401	3823	5687
402	3831	5676
403	3840	5665
404	3848	5653
405	3859	5647
406	3869	5637
407	3879	5629
408	3890	5621
409	3947	5680
410	3959	5673
411	3967	5662
412	3974	5649
413	3981	5636
414	3990	5624
415	3997	5612
416	4005	5600
417	4014	5588
418	4022	5577
419	4031	5566
420	4038	5554
421	4046	5541
422	4054	5530
423	4062	5518
424	4070	5507
425	4078	5495
426	4086	5483
427	4094	5472
428	4103	5461
429	4110	5449
430	4119	5438
431	4127	5427
432	4135	5415
433	4143	5403
434	4151	5392
435	4161	5383
436	4173	5376
437	4186	5371
438	4195	5361
439	4205	5352
440	4214	5342
441	4226	5335
442	4234	5324
443	4244	5314
444	4254	5306
445	4265	5297
446	4272	5285
447	4281	5275
448	4290	5264
449	4297	5252
450	4305	5241
451	4313	5229
452	4322	5218
453	4329	5207
454	4336	5194
455	4345	5183
456	4353	5172
457	4361	5161
458	4369	5150
459	4377	5139
460	4385	5128
461	4393	5116
462	4401	5105
463	4410	5094
464	4418	5083
465	4426	5072
466	4437	5065
467	4447	5056
468	4478	5071
469	4511	5086
470	4529	5087
471	4541	5079
472	4550	5069
473	4558	5058
474	4566	5047
475	4576	5038
476	4585	5027
477	4594	5017
478	4603	5006
479	4612	4996
480	4621	4987
481	4630	4975
482	4637	4964
483	4645	4952
484	4654	4941
485	4661	4929
486	4669	4918
487	4677	4907
488	4685	4896
489	4693	4885
490	4702	4874
491	4711	4864
492	4718	4852
493	4726	4841
494	4735	4830
495	4745	4822
496	4754	4811
497	4762	4800
498	4771	4790
499	4779	4779
500	4787	4768
501	4795	4757
502	4803	4746
503	4813	4737
504	4821	4725
505	4829	4714
506	4837	4703
507	4845	4692
508	4854	4682
509	4861	4671
510	4869	4659
511	4877	4648
512	4886	4638
513	4893	4627
514	4901	4616
515	4909	4605
516	4917	4593
517	4925	4583
518	4934	4572
519	4942	4562
520	4950	4551
521	4956	4538
522	4963	4527
523	4972	4517
524	4980	4506
525	4988	4495
526	4996	4484
527	5004	4473
528	5012	4462
529	5020	4451
530	5027	4440
531	5034	4428
532	5041	4417
533	5049	4406
534	5057	4395
535	5065	4385
536	5073	4374
537	5081	4364
538	5089	4353
539	5098	4343
540	5107	4333
541	5115	4322
542	5123	4311
543	5131	4301
544	5142	4293
545	5151	4283
546	5159	4273
547	5168	4263
548	5176	4252
549	5184	4242
550	5192	4231
551	5201	4221
552	5210	4211
553	5218	4200
554	5226	4190
555	5235	4180
556	5242	4169
557	5250	4159
558	5259	4148
559	5267	4138
560	5276	4129
561	5284	4118
562	5293	4108
563	5301	4098
564	5310	4088
565	5318	4078
566	5325	4066
567	5333	4056
568	5340	4045
569	5348	4034
570	5356	4024
571	5365	4014
572	5373	4004
573	5381	3994
574	5389	3983
575	5398	3973
576	5406	3963
577	5414	3953
578	5422	3942
579	5431	3933
580	5439	3922
581	5447	3912
582	5455	3901
583	5464	3892
584	5472	3882
585	5480	3871
586	5488	3861
587	5496	3851
588	5504	3840
589	5512	3830
590	5520	3820
591	5529	3810
592	5537	3800
593	5545	3790
594	5553	3780
595	5563	3771
596	5572	3761
597	5581	3752
598	5590	3742
599	5598	3732
600	5607	3722
601	5614	3712
602	5623	3702
603	5631	3692
604	5639	3681
605	5646	3671
606	5654	3661
607	5663	3651
